TrialOrder,Block,Trial,Sentence,Verb,Noun1,Noun2,Type,List,Bias,AudioFile,CongruentPic,IncongruentPic,image1,image2,targetlocation,image1type,image2type,moddirection,instdirection,VerbTime,audiodur,GitLink_image1,GitLink_image2,GitLink_AudioFile
1,Practice,8,Tom tagged the sheep with the mallet.,tagged,sheep,mallet,Sentence,Practice,Equi,tomsheepmallet_nopauses.mp3,NA,NA,tomsheepmalletinstright.png,tomsheepmalletmodleft.png,NA,inst,mod,L,R,500,2332,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tomsheepmalletinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tomsheepmalletmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/tomsheepmallet_nopauses.mp3?raw=true
2,Practice,8,Who did it?,tagged,NA,NA,Question,Practice,Question_Control,whodidit.mp3,NA,NA,tom.png,kate.png,1,tom,kate,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/whodidit.mp3?raw=true
3,Practice,2,Tom touched the seal with the ladle.,touched,seal,ladle,Sentence,Practice,Equi,tomsealladle_nopauses.mp3,NA,NA,tomsealladleinstright.png,tomsealladlemodleft.png,NA,inst,mod,L,R,474,2382,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tomsealladleinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tomsealladlemodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/tomsealladle_nopauses.mp3?raw=true
4,Practice,1,Kate touched the seal with the ladle.,touched,seal,ladle,Sentence,Practice,Equi,katesealladle.mp3,NA,NA,katesealladlemodright.png,katesealladleinstleft.png,NA,mod,inst,R,L,392,2158,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/katesealladlemodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/katesealladleinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/katesealladle.mp3?raw=true
5,Practice,5,Kate cleaned the butterfly with the tennis racket.,cleaned,butterfly,tennis racket,Sentence,Practice,Equi,katebutterflytennisracket_nopauses.mp3,NA,NA,katebutterflytennisracketmodright.png,katebutterflytennisracketinstleft.png,NA,mod,inst,R,L,353,2920,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/katebutterflytennisracketmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/katebutterflytennisracketinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/katebutterflytennisracket_nopauses.mp3?raw=true
6,Practice,3,Kate pressed the otter with the ice cream scoop.,pressed,otter,ice cream scoop,Sentence,Practice,Equi,kateottericecreamscoop_nopauses.mp3,NA,NA,kateottericecreamscoopmodright.png,kateottericecreamscoopinstleft.png,NA,mod,inst,R,L,376,2697,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/kateottericecreamscoopmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/kateottericecreamscoopinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/kateottericecreamscoop_nopauses.mp3?raw=true
7,Practice,3,Who did it?,pressed,NA,NA,Question,Practice,Question_Control,whodidit.mp3,NA,NA,tom.png,kate.png,2,tom,kate,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/whodidit.mp3?raw=true
8,Practice,10,Tom pet the owl with the oar.,pet,owl,oar,Sentence,Practice,Equi,tomowloar_nopauses.mp3,NA,NA,tomowloarmodright.png,tomowloarinstleft.png,NA,mod,inst,R,L,480,2260,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tomowloarmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tomowloarinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/tomowloar_nopauses.mp3?raw=true
9,Practice,4,Tom pressed the otter with the ice cream scoop.,pressed,otter,ice cream scoop,Sentence,Practice,Equi,tomottericecreamscoop_nopauses.mp3,NA,NA,tomottericecreamscoopmodright.png,tomottericecreamscoopinstleft.png,NA,mod,inst,R,L,545,2747,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tomottericecreamscoopmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tomottericecreamscoopinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/tomottericecreamscoop_nopauses.mp3?raw=true
10,Practice,9,Kate pet the owl with the oar.,pet,owl,oar,Sentence,Practice,Equi,kateowloar_nopauses.mp3,NA,NA,kateowloarinstright.png,kateowloarmodleft.png,NA,inst,mod,L,R,442,2295,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/kateowloarinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/kateowloarmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/kateowloar_nopauses.mp3?raw=true
11,Practice,7,Kate tagged the sheep with the mallet.,tagged,sheep,mallet,Sentence,Practice,Equi,katesheepmallet_nopauses.mp3,NA,NA,katesheepmalletinstright.png,katesheepmalletmodleft.png,NA,inst,mod,L,R,418,2292,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/katesheepmalletinstright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/katesheepmalletmodleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/katesheepmallet_nopauses.mp3?raw=true
12,Practice,6,Tom cleaned the butterfly with the tennis racket.,cleaned,butterfly,tennis racket,Sentence,Practice,Equi,tombutterflytennisracket_nopauses.mp3,NA,NA,tombutterflytennisracketmodright.png,tombutterflytennisracketinstleft.png,NA,mod,inst,R,L,501,3105,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tombutterflytennisracketmodright.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tombutterflytennisracketinstleft.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/tombutterflytennisracket_nopauses.mp3?raw=true
13,Practice,6,Who did it?,cleaned,NA,NA,Question,Practice,Question_Control,whodidit.mp3,NA,NA,kate.png,tom.png,2,kate,tom,NA,NA,1,650,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/kate.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/Pictures/Practice/tom.png?raw=true,https://github.com/kelly-marshall/DriftDiffusionAdaptation/blob/main/AudioFiles/Practice/whodidit.mp3?raw=true